Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Michael Jordan*24CHI,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,1280.68
Michael Jordan*25CHI,32.5,8,8,2.9,0.8,0.538,0.276,0.85,1250.22
David Robinson*28SAS,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,1243.35
Shaquille O'Neal*27LAL,29.7,13.6,3.8,0.5,3,0.574,0,0.524,1224
Michael Jordan*26CHI,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,1216.8
LeBron James25CLE,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,1212.9
LeBron James28MIA,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,1197.64
LeBron James24CLE,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,1195.09
LeBron James21CLE,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,1194.25
Tracy McGrady*23ORL,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,1193.82
Shaquille O'Neal*28LAL,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,1192.9
Michael Jordan*23CHI,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,1192
LeBron James23CLE,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,1175.64
Dwyane Wade*27MIA,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,1173.44
Michael Jordan*27CHI,31.5,6,5.5,2.7,1,0.539,0.312,0.851,1169.2
Michael Jordan*29CHI,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,1167.21
Kevin Garnett*27MIN,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,1158.36
Chris Paul23NOH,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,1155
LeBron James27MIA,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,1151.25
Kobe Bryant*27LAL,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,1148
Kevin Durant25OKC,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,1147.3
Shaquille O'Neal*21ORL,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,1134.3
James Harden29HOU,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,1126.08
Moses Malone*26HOU,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,1125.6
Allen Iverson*30PHI,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,1116.29
Shaquille O'Neal*30LAL,27.5,11.1,3.1,0.6,2.4,0.574,0,0.622,1115.1
Anthony Davis21NOP,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,1111.88
Michael Jordan*32CHI,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,1108.38
David Robinson*29SAS,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,1105.8
LeBron James29MIA,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,1104.61
Nikola Jokić26DEN,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,1098.8
Tim Duncan*25SAS,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,1096.2
Dwyane Wade*25MIA,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,1095.31
Charles Barkley*24PHI,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,1092.96
LeBron James20CLE,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,1089.68
Kevin Durant24OKC,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,1089.55
Kobe Bryant*24LAL,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,1087.3
Joel Embiid28PHI,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,1086.44
Larry Bird*31BOS,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,1084.2
Nikola Jokić25DEN,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,1082.98
David Robinson*30SAS,25,12.2,3,1.4,3.3,0.516,0.333,0.761,1081.92
Hakeem Olajuwon*30HOU,26.1,13,3.5,1.8,4.2,0.529,0,0.779,1078.35
Charles Barkley*27PHI,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,1077.97
Stephen Curry27GSW,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,1077.3
Michael Jordan*28CHI,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,1074.76
Kevin Garnett*28MIN,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,1074.42
Shaquille O'Neal*29LAL,27.2,10.7,3,0.6,2,0.579,0,0.555,1072.17
Larry Bird*30BOS,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,1071.84
Dirk Nowitzki*27DAL,26.6,9,2.8,0.7,1,0.48,0.406,0.901,1070.61
Kevin Garnett*26MIN,23,13.4,6,1.4,1.6,0.502,0.282,0.751,1069.2
Dwyane Wade*24MIA,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,1065.36
